Attr,Country,2025,2030,2030Sum
1,ao-1,6312508699.140061,8358447499.434218,14670956198.574312
1,bd-1,35800879008.076324,38573525152.42726,74374404160.50366
1,bf-1,2719866090.190639,3881527334.9243236,6601393425.114977
1,bi-1,1464138872.1261644,2170375842.0801525,3634514714.2063146
1,bj-1,2239236855.1218367,2870497869.748775,5109734724.870615
1,bw-1,492486713.7098405,576995250.0866987,1069481963.796541
1,cd-1,9607588015.197727,14457413411.908468,24065001427.10621
1,cf-1,555099792.7297786,764686454.2779952,1319786247.0077763
1,cg-1,1061800588.9617307,1305233715.7360804,2367034304.6978097
1,ci-1,4925088083.16723,6003148372.318436,10928236455.485693
1,cm-1,4904543209.359971,6059468581.236784,10964011790.59672
1,dj-1,200000203.1896681,230403731.01276135,430403934.20243114
1,er-1,798339209.9646364,1021906781.7749566,1820245991.7395935
1,et-1,18222386563.222057,23161106809.42836,41383493372.65042
1,fm-1,3723925.6713529057,4301999.99996453,8025925.671317434
1,ga-1,494387819.24802995,556187677.3173571,1050575496.5653892
1,gh-1,6669274417.044822,7715011179.847443,14384285596.892317
1,gm-1,385555055.8658144,492292447.9049225,877847503.7707351
1,gn-1,1679343465.7141135,2293696261.80741,3973039727.521525
1,gq-1,286717506.249771,355554246.1747687,642271752.4245408
1,gw-1,310060849.99541605,411486072.05269057,721546922.0481087
1,hn-1,2074869382.2924871,2292687005.1400495,4367556387.432535
1,ht-1,1820671927.5327065,2152286764.608142,3972958692.1408424
1,ke-1,10543578566.292133,12749512365.622553,23293090931.914738
1,kh-1,3563276044.2540855,3884187183.107226,7447463227.361306
1,km-1,180795043.34524113,207620432.63418075,388415475.9794228
1,lr-1,799057116.205006,1085415527.3057501,1884472643.5107543
1,ls-1,337105653.9029909,419985251.7515977,757090905.6545907
1,mg-1,2792314496.4180284,4081662147.157556,6873976643.575588
1,ml-1,2971402421.0689793,4082931325.828608,7054333746.8976145
1,mm-1,9339780428.555294,10331987767.781889,19671768196.33715
1,mn-1,680564133.5436822,741823881.5338789,1422388015.0775604
1,mr-1,659160359.2387968,879510116.7259256,1538670475.9647207
1,mw-1,2899717438.712345,4103135849.540929,7002853288.253288
1,mz-1,4273474513.816452,6029244341.981508,10302718855.79793
1,na-1,475127540.714553,589493819.0673909,1064621359.7819455
1,ne-1,2748822981.308842,4251802428.8924475,7000625410.201263
1,ng-1,35764870897.40888,45438104085.72673,81202974983.13573
1,ni-1,1310269281.9068375,1414312115.6239486,2724581397.530785
1,pg-1,1337150241.812946,1621946727.580121,2959096969.3930597
1,pk-1,42936713898.53687,49321741841.716064,92258455740.25294
1,rw-1,2008109517.2152033,2575476192.6186748,4583585709.833867
1,sb-1,21942397.401593156,28348905.183597077,50291302.58519023
1,sd-1,6664569110.40728,8343860993.584537,15008430103.991789
1,sl-1,1157330730.4839451,1535996680.6899571,2693327411.1738997
1,sn-1,3035690434.848745,3786160685.3464193,6821851120.19516
1,so-1,2086107250.5339181,2941422987.3134494,5027530237.8473625
1,ss-1,972379443.1345037,1497026766.8887632,2469406210.0232663
1,st-1,48803226.09822793,57125458.960967615,105928685.05919534
1,sz-1,302576286.55234003,342474036.3670157,645050322.9193567
1,td-1,1385653834.2908034,2231796671.0524235,3617450505.343223
1,tg-1,1602998351.4369636,1992219041.0122092,3595217392.449178
1,tl-1,287802966.14923686,331678129.81354594,619481095.9627825
1,tz-1,10030480898.954185,13726690465.244856,23757171364.19915
1,ug-1,8060149521.161257,11140399755.585571,19200549276.74681
1,vu-1,9956807.90800085,12995999.999983953,22952807.907984786
1,za-1,12668128635.9456,13829481319.255623,26497609955.201187
1,zm-1,2790055269.1886706,3792666241.4741697,6582721510.662844
1,zw-1,2648229862.0259337,3364855737.783349,6013085599.809284
2,ao-1,3520691419.1400766,2045938800.2964962,5566630219.436565
2,bd-1,4177649568.080935,2772646144.344059,6950295712.424989
2,bf-1,1653258090.187976,1161661244.7401743,2814919334.9281583
2,bi-1,1246099832.1261616,706236969.9533992,1952336802.0795689
2,bj-1,1172417175.1396077,631261014.6297702,1803678189.7693784
2,bw-1,175012073.70991182,87902532.73466484,262914606.44457707
2,cd-1,6245474249.381828,4849825396.711259,11095299646.09309
2,cf-1,248142192.72968712,209586661.54791698,457728854.2776028
2,cg-1,291976588.96173763,243433126.7746522,535409715.73639035
2,ci-1,1424334636.8714104,1078060289.1487536,2502394926.020158
2,cm-1,1652969929.3588674,1154925371.8772886,2807895301.236154
2,dj-1,74158603.18966794,30403527.82259914,104562131.01226735
2,er-1,260447369.97794867,223567571.81054232,484014941.788491
2,et-1,8303147535.853272,4938720246.199298,13241867782.052555
2,fm-1,687628.0970659017,578074.3286116205,1265702.4256775216
2,ga-1,96848132.17418131,64438558.10488903,161286690.2790707
2,gh-1,1641537457.0415976,1045736762.8041975,2687274219.8457947
2,gm-1,123797615.86600225,106737392.03888126,230535007.9048827
2,gn-1,692536665.7139672,614352796.0942101,1306889461.8081753
2,gq-1,96555426.24755861,68836739.9252275,165392166.1727855
2,gw-1,202963729.9952328,101425222.0575734,304388952.0528061
2,hn-1,305226742.29252326,217817622.84751147,523044365.14003634
2,ht-1,764492407.5327165,331614837.07543874,1096107244.6081553
2,ke-1,3500112326.3277392,2205933799.329212,5706046125.656954
2,kh-1,547076724.7167342,320911138.8531661,867987863.5699006
2,km-1,37025443.34524112,26825389.288939588,63850832.634180725
2,lr-1,578879676.1970843,286358411.10052866,865238087.2976153
2,ls-1,170910933.9031256,82879597.84846532,253790531.75159043
2,mg-1,1430840576.4183776,1289347650.7369556,2720188227.1553335
2,ml-1,1196651381.0638227,1111528904.7668242,2308180285.8306465
2,mm-1,1324249794.2120814,992207339.2259052,2316457133.4379783
2,mn-1,100621413.54368222,61259747.99019554,161881161.5338775
2,mr-1,253430687.4230396,220349757.4873419,473780444.91038185
2,mw-1,2361564238.7012053,1203418410.8275292,3564982649.528727
2,mz-1,2493023233.8175664,1755769828.1650815,4248793061.982647
2,na-1,179629579.20207217,115108388.01321603,294737967.2152879
2,ne-1,1784987781.3088486,1502979447.5838192,3287967228.8926735
2,ng-1,12918010897.421919,9673233188.302826,22591244085.72476
2,ni-1,142978092.10144982,104042833.71688917,247020925.8183382
2,pg-1,355274721.81289303,284796485.7672128,640071207.5801033
2,pk-1,12382024769.492271,6385027943.177667,18767052712.669952
2,rw-1,1090036077.2152424,567366675.4027512,1657402752.6179912
2,sb-1,7828151.327362759,6407116.013804929,14235267.341167698
