Attr,Country,2025,2030,2030Sum
2,sd-1,2106608734.1028068,1679291883.1779783,3785900617.2807736
2,sl-1,773801130.4839444,378665950.20596397,1152467080.689908
2,sn-1,853597954.8474165,750470250.4966608,1604068205.3440769
2,so-1,958298201.2843877,855315736.778823,1813613938.0632193
2,ss-1,729536752.1079662,524647323.754022,1254184075.8619866
2,st-1,15848106.098227968,8407492.168987561,24255598.26721551
2,sz-1,80238846.55248241,39897749.81465568,120136596.36713818
2,td-1,1052820950.1045337,846142836.7614676,1898963786.8660038
2,tg-1,774491471.4369613,389220689.5756203,1163712161.012586
2,tl-1,59015766.14923698,43875163.6643077,102890929.81354474
2,tz-1,5818474418.954201,3696209566.290944,9514683985.245132
2,ug-1,5956391601.143947,3080250234.423442,9036641835.567362
2,vu-1,3550547.7267716485,3039192.0919830925,6589739.818754747
2,za-1,2253835515.944877,1231101428.8145807,3484936944.7594657
2,zm-1,1268637669.283413,1002610972.287365,2271248641.570782
2,zw-1,1186946661.989824,716625875.759819,1903572537.749647
3,ao-1,199786451.15423715,118873924.8754776,318660376.02971536
3,bd-1,128060351.27752817,92247414.80760233,220307766.08513084
3,bf-1,62053052.54389416,57272992.86812264,119326045.41201669
3,bi-1,46051850.8298103,21600136.542349737,67651987.37216005
3,bj-1,40597184.762459196,24029235.54214788,64626420.30460699
3,bw-1,26357906.062196366,13879172.407780413,40237078.46997688
3,cd-1,203987390.9543781,235389096.59702617,439376487.5514046
3,cf-1,9042361.574729357,17817308.008588888,26859669.583318204
3,cg-1,20165442.027496547,24229429.335307244,44394871.36280374
3,ci-1,73098534.51881547,58588795.5013741,131687330.0201895
3,cm-1,88404918.62265126,63224842.61286176,151629761.2355132
3,dj-1,3384451.382247597,1272551.7221645336,4657003.104412139
3,er-1,8196702.55279957,8213400.571770954,16410103.124570541
3,et-1,383784284.68093103,229971265.74293014,613755550.4238627
3,fm-1,74551.98692684447,69253.14828422574,143805.13521107018
3,ga-1,8619895.664173907,6096093.992452297,14715989.656626215
3,gh-1,127451351.43861574,86714038.41980264,214165389.8584185
3,gm-1,4424984.937679342,4493742.07479133,8918727.012470683
3,gn-1,30749812.00905492,35385494.725000545,66135306.73405552
3,gq-1,4628014.247312724,3777274.005292998,8405288.252605705
3,gw-1,5135009.457839194,3461057.835478533,8596067.293317705
3,hn-1,18227814.283490233,15743806.071894323,33971620.35538448
3,ht-1,37668742.49418714,19672153.684393834,57340896.17858099
3,ke-1,157211392.47407344,114999845.61083855,272211238.08491176
3,kh-1,18342560.11644772,12720853.823385412,31063413.9398331
3,km-1,1644185.5581696976,1517656.2775452412,3161841.8357149335
3,lr-1,43522334.34555451,17878166.493682124,61400500.83923661
3,ls-1,11547189.882479504,5002584.236182072,16549774.118661577
3,mg-1,66806028.03663367,123071022.81229739,189877050.84893093
3,ml-1,36644883.040872164,35599266.17238786,72244149.21326014
3,mm-1,59491328.98019761,66008118.31373804,125499447.29393528
3,mn-1,7285768.685745195,6859614.572216305,14145383.25796147
3,mr-1,12051484.244180748,11170100.661196573,23221584.905377287
3,mw-1,110174044.83506054,56109921.43636125,166283966.27142116
3,mz-1,101327797.13167894,87714594.9308565,189042392.0625356
3,na-1,21835970.376200635,17570754.720085733,39406725.09628632
3,ne-1,69420065.42449188,45433718.47839486,114853783.90288636
3,ng-1,736728668.0186815,596972671.5672145,1333701339.585898
3,ni-1,11741608.963419111,10410626.576296253,22152235.539715376
3,pg-1,15366310.339550188,16511540.468393048,31877850.80794318
3,pk-1,253328414.93454412,177349562.93115857,430677977.8657019
3,rw-1,24355244.235019077,12564778.624195352,36920022.85921454
3,sb-1,649720.1030854678,642122.6286678419,1291842.73175331
3,sd-1,116358180.13825348,149873785.06005353,266231965.19830665
3,sl-1,28263813.30471476,11585184.474157294,39848997.77887201
3,sn-1,26393447.058152083,25304264.853729714,51697711.911881775
3,so-1,40847736.80486796,53728379.81838247,94576116.62325004
3,ss-1,27532753.630118385,26570726.261650898,54103479.89176929
3,st-1,1206128.31752966,891266.0872303817,2097394.404760042
3,sz-1,5797014.7028389955,3219512.6931725577,9016527.396011539
3,td-1,55429231.11911888,62107892.710909285,117537123.83002844
3,tg-1,39118536.02665795,23028739.899752297,62147275.92641024
3,tl-1,1750094.7983526052,1637306.6962258697,3387401.4945784677
3,tz-1,237074719.76737705,139071233.51678994,376145953.2841671
3,ug-1,213727329.21526498,107869404.8592892,321596734.07455397
3,vu-1,426517.0230107909,387780.250259056,814297.273269847
3,za-1,249216912.43759206,145471289.63202754,394688202.06961906
3,zm-1,70572434.14570269,61042481.93747093,131614916.0831736
3,zw-1,88681500.95245706,55336423.71238241,144017924.6648394
4,ao-1,513045642695.38025,183950002959.6822,696995645655.0624
4,bd-1,476968363412.4558,212873329663.54575,689841693076.0037
4,bf-1,309943647645.96564,157102221709.1878,467045869355.1532
4,bi-1,220589052280.36066,65356319054.87302,285945371335.23376
4,bj-1,234056675932.92395,73651362921.84052,307708038854.7648
4,bw-1,104638477747.83609,25531560797.547817,130170038545.38396
4,cd-1,837082457083.0643,513525797470.69934,1350608254553.763
4,cf-1,41851772762.71484,36641210408.29871,78492983171.0137
4,cg-1,71980473046.9396,44541032268.48066,116521505315.42017
4,ci-1,275426438553.1914,121951492260.4057,397377930813.59753
4,cm-1,447305926593.917,175009007127.0922,622314933721.0095
4,dj-1,19185910033.342827,4097344343.4946437,23283254376.837433
4,er-1,40001661682.28507,20795919597.639835,60797581279.92488
4,et-1,1909033909713.1743,685377575113.0544,2594411484826.2256
4,fm-1,281782118.47253096,154014686.60819975,435796805.08073074
4,ga-1,34119124453.095524,11920350808.855684,46039475261.95132
4,gh-1,523661696503.74664,179631907211.93585,703293603715.6841
4,gm-1,16712423469.080667,8794774913.153198,25507198382.233883
4,gn-1,130119690548.91325,79345291830.46005,209464982379.3734
4,gq-1,19063114261.989296,8248735614.29647,27311849876.285755
4,gw-1,27616536656.070724,8517154880.870228,36133691536.94091
4,hn-1,121215628076.2358,31899764354.735683,153115392430.97144
4,ht-1,126745861862.17491,36943107182.79303,163688969044.96786
4,ke-1,969091018015.436,311005069608.3672,1280096087623.8047
4,kh-1,104969238010.43134,32302920004.88871,137272158015.31985
4,km-1,14214310840.780046,5961388216.374087,20175699057.15409
4,lr-1,165645076680.60614,42734435371.752014,208379512052.35815
4,ls-1,54216313425.53245,16305598632.486643,70521912058.01906
4,mg-1,251948866688.37015,237136939495.48224,489085806183.85114
4,ml-1,199137237491.56186,97133851653.2013,296271089144.7631
4,mm-1,238266691822.49557,145003997617.13773,383270689439.6335
4,mn-1,29843091301.719902,14233851211.894154,44076942513.61408
4,mr-1,44353510454.18596,23206206863.146416,67559717317.33232
4,mw-1,533510744588.44507,133648106091.75067,667158850680.1959
4,mz-1,609363817033.4174,229928011489.54105,839291828522.9579
4,na-1,110008276047.61772,29330151892.741573,139338427940.3591
4,ne-1,279368302916.262,120664441930.21773,400032744846.48
4,ng-1,2620740932148.574,1141436375594.0642,3762177307742.636
4,ni-1,44016510576.6387,22874498829.92165,66891009406.5601
4,pg-1,65600550709.677,38335013008.063194,103935563717.74023
4,pk-1,1564029378842.1523,437665659024.83966,2001695037866.9897
4,rw-1,161372465654.9055,42453604468.256096,203826070123.16174
4,sb-1,2634930045.3083577,1502811547.3317177,4137741592.640075
4,sd-1,381100677411.4075,268678265522.46024,649778942933.8693
4,sl-1,124983461966.74734,37401600319.08351,162385062285.83096
4,sn-1,94903798359.66415,48110727055.02678,143014525414.6907
4,so-1,168048954048.79807,118061340910.64102,286110294959.43896
4,ss-1,107858876248.78464,61855631014.08463,169714507262.86902
4,st-1,16376000073.234966,5101895855.287506,21477895928.522457
4,sz-1,45674597111.246185,9664692891.982803,55339290003.228874
4,td-1,227054625223.15906,134670589267.83344,361725214490.99316
4,tg-1,195319860155.579,56132919754.12547,251452779909.7038
4,tl-1,18558799040.45894,6628747162.253075,25187546202.712017
4,tz-1,1201835436510.2737,314817974560.6913,1516653411070.9631
4,ug-1,1458585656752.5784,350649029664.2318,1809234686416.81
4,vu-1,1563151022.2160454,861939271.5233467,2425090293.739392
4,za-1,1142646168406.3196,336851393410.6082,1479497561816.9236
4,zm-1,386378872843.8901,126025581844.82655,512404454688.71704
4,zw-1,464071156944.32916,143772156310.86703,607843313255.1967
