;1.0;3.0;5.0;7.0;type;pop;continent
ElecPop2030_adj_gm-1;1260560.308672905;33632.26919221878;851607.4361619949;3302.0609579086304;adj;ElecPop2030;AFR
ElecPop_adj_gm-1;891713.9087839127;3077.9650921821594;57826.138586997986;169.8667287826538;adj;ElecPop;AFR
Pop_adj_gm-1;1298321.8141441345;28412.23738336563;634473.9083595276;2687.1316633224487;adj;Pop;AFR
NewConnections2030_adj_gm-1;557459.0008559227;36710.23428440094;309317.8313179016;1468.1840834617615;adj;NewConnections2030;AFR
NewConnections2025_adj_gm-1;382975.2671484947;0.0;317457.791015625;622.7396621704102;adj;NewConnections2025;AFR
ElecPop2030_orig_gm-1;1549893.4105825424;33632.26919221878;563630.1644639969;1946.230746269226;orig;ElecPop2030;AFR
ElecPop_orig_gm-1;924960.2772264481;3077.9650921821594;24699.661414146423;49.97545909881592;orig;ElecPop;AFR
Pop_orig_gm-1;1515524.8759918213;28412.23738336563;418412.9952735901;1544.9829015731812;orig;Pop;AFR
NewConnections2030_orig_gm-1;595999.5151782036;36710.23428440094;270872.03452301025;1373.466556072235;orig;NewConnections2030;AFR
NewConnections2025_orig_gm-1;382975.2671484947;0.0;317457.791015625;622.7396621704102;orig;NewConnections2025;AFR
ElecPop2030_adj_mw-1;12875777.393448664;1309896.9778266058;8694020.776445474;9670.92810344696;adj;ElecPop2030;AFR
ElecPop_adj_mw-1;4636873.562941718;20555.412233819057;42355.359802160005;120.06872749328613;adj;ElecPop;AFR
Pop_adj_mw-1;10485285.298201561;869963.3492157459;5712588.514653206;6402.1895298957825;adj;Pop;AFR
NewConnections2030_adj_mw-1;9671480.721313477;1330452.3900604248;1493060.675895214;5621.942361354828;adj;NewConnections2030;AFR
NewConnections2025_adj_mw-1;5349720.248306274;0.0;0.0;0.0;adj;NewConnections2025;AFR
ElecPop2030_orig_mw-1;21081633.865235094;1309896.9778266058;491662.52656761225;6238.5991468429565;orig;ElecPop2030;AFR
ElecPop_orig_mw-1;4674228.3379852725;20555.412233819057;5051.990588988701;68.66289710998535;orig;ElecPop;AFR
Pop_orig_mw-1;15875400.507976532;869963.3492157459;324794.35451602936;4124.22632932663;orig;Pop;AFR
NewConnections2030_orig_mw-1;10668256.103742123;1330452.3900604248;496714.51715660095;5200.6864976882935;orig;NewConnections2030;AFR
NewConnections2025_orig_mw-1;5349720.248306274;0.0;0.0;0.0;orig;NewConnections2025;AFR
ElecPop2030_adj_ao-1;19373782.585511684;2558362.9383101463;9993353.53283739;147887.21513938904;adj;ElecPop2030;AFR
ElecPop_adj_ao-1;12614446.446653843;37360.38978767395;1467568.9313464165;1185.1299982070923;adj;ElecPop;AFR
Pop_adj_ao-1;15922027.362026215;1795043.9121031761;7103923.721448898;103089.34016227722;adj;Pop;AFR
NewConnections2030_adj_ao-1;9959230.40811491;875969.7635975182;5462387.801138878;47701.79224228859;adj;NewConnections2030;AFR
NewConnections2025_adj_ao-1;9103918.752307892;1719753.579433918;924609.3006591797;14685.544828414917;adj;NewConnections2025;AFR
ElecPop2030_orig_ao-1;24773606.292903423;2558362.9383101463;4638140.515917301;103276.52466773987;orig;ElecPop2030;AFR
ElecPop_orig_ao-1;12678897.776901722;37360.38978767395;1403579.6111006737;723.1199960708618;orig;ElecPop;AFR
Pop_orig_ao-1;19700786.643310547;1795043.9121031761;3356333.9702014923;71919.81012535095;orig;Pop;AFR
NewConnections2030_orig_ao-1;10307379.12959683;875969.7635975182;5117110.824378967;44830.047520279884;orig;NewConnections2030;AFR
NewConnections2025_orig_ao-1;9103918.752307892;1719753.579433918;924609.3006591797;14685.544828414917;orig;NewConnections2025;AFR
ElecPop2030_adj_bd-1;101730961.88118118;33065.234234799886;202099.50954549926;7394.885162999999;adj;ElecPop2030;other
ElecPop_adj_bd-1;91991236.09785108;129.99502669999998;4242.320075500002;470.007576;adj;ElecPop;other
Pop_adj_bd-1;147708380.61038655;26236.968058899998;163089.21880900153;6216.283068999996;adj;Pop;other
