;1.0;3.0;5.0;7.0;type;pop;continent
NewConnections2030_adj_bd-1;22347930.665635277;33195.22926149989;206341.82962099937;7864.892738999999;adj;NewConnections2030;other
NewConnections2025_adj_bd-1;24970427.394661035;0.0;0.0;0.0;adj;NewConnections2025;other
ElecPop2030_orig_bd-1;101730961.88118118;33065.234234799886;202099.50954549926;7394.885162999999;orig;ElecPop2030;other
ElecPop_orig_bd-1;91991236.09785108;129.99502669999998;4242.320075500002;470.007576;orig;ElecPop;other
Pop_orig_bd-1;147708380.61038655;26236.968058899998;163089.21880900153;6216.283068999996;orig;Pop;other
NewConnections2030_orig_bd-1;22347930.665635277;33195.22926149989;206341.82962099937;7864.892738999999;orig;NewConnections2030;other
NewConnections2025_orig_bd-1;24970427.394661035;0.0;0.0;0.0;orig;NewConnections2025;other
ElecPop2030_adj_bf-1;8073938.449934959;2918402.2970364094;11657337.897932053;92277.57852554321;adj;ElecPop2030;AFR
ElecPop_adj_bf-1;5046408.281861305;26730.190083265305;491743.80097579956;1014.8399829864502;adj;ElecPop;AFR
Pop_adj_bf-1;7180028.228935242;2138289.7487699986;8673640.47537613;67734.20983600616;adj;Pop;AFR
NewConnections2030_adj_bf-1;2739776.1173477173;2945132.4871196747;5715028.543063164;37957.8934879303;adj;NewConnections2030;AFR
NewConnections2025_adj_bf-1;5442620.617416859;0.0;307970.59672546387;27655.36585044861;adj;NewConnections2025;AFR
ElecPop2030_orig_bf-1;14460842.04775381;2918402.2970364094;5270434.300113201;92277.57852554321;orig;ElecPop2030;AFR
ElecPop_orig_bf-1;5494134.422827244;26730.190083265305;44017.66000986099;1014.8399829864502;orig;ElecPop;AFR
Pop_orig_bf-1;12002255.874008179;2138289.7487699986;3851412.830303192;67734.20983600616;orig;Pop;AFR
NewConnections2030_orig_bf-1;3448323.297636986;2945132.4871196747;5006481.362773895;37957.8934879303;orig;NewConnections2030;AFR
NewConnections2025_orig_bf-1;5442620.617416859;0.0;307970.59672546387;27655.36585044861;orig;NewConnections2025;AFR
ElecPop2030_adj_bi-1;7972031.124034882;284447.79473018646;6825280.869072914;50.244951248168945;adj;ElecPop2030;AFR
ElecPop_adj_bi-1;1188351.8517837524;572.5068726539612;39637.46134853363;0.0;adj;ElecPop;AFR
Pop_adj_bi-1;5974030.438751221;206017.04067850113;4962068.093592644;36.317819595336914;adj;Pop;AFR
NewConnections2030_adj_bi-1;6328219.534202576;285020.3016028404;1008867.6809597015;6.236737966537476;adj;NewConnections2030;AFR
NewConnections2025_adj_bi-1;1822723.3776397705;0.0;0.0;0.0;adj;NewConnections2025;AFR
ElecPop2030_orig_bi-1;14618565.593377113;284447.79473018646;178796.64468193054;0;orig;ElecPop2030;AFR
ElecPop_orig_bi-1;1227823.6970033646;572.5068726539612;165.6161289215088;0;orig;ElecPop;AFR
Pop_orig_bi-1;10806778.187799454;206017.04067850113;129356.66236400604;0;orig;Pop;AFR
NewConnections2030_orig_bi-1;7158131.191089392;285020.3016028404;178962.26081085205;0;orig;NewConnections2030;AFR
NewConnections2025_orig_bi-1;1822723.3776397705;0.0;0.0;0;orig;NewConnections2025;AFR
ElecPop2030_adj_bj-1;6911668.208887577;577902.6271934509;3018299.129456997;11978.151388168335;adj;ElecPop2030;AFR
ElecPop_adj_bj-1;5542467.195744991;8015.065955162048;98057.86024141312;71.74549198150635;adj;ElecPop;AFR
Pop_adj_bj-1;8011285.808180809;454272.6438860893;2378367.4030981064;9342.50420999527;adj;Pop;AFR
NewConnections2030_adj_bj-1;4171417.390947342;585917.693148613;609859.9470918179;7947.660222172737;adj;NewConnections2030;AFR
NewConnections2025_adj_bj-1;3343738.0468091965;0.0;0.0;0.0;adj;NewConnections2025;AFR
ElecPop2030_orig_bj-1;9565011.740793228;577902.6271934509;369410.28538894653;7523.463550567627;orig;ElecPop2030;AFR
ElecPop_orig_bj-1;5637440.358917236;8015.065955162048;3084.697069168091;71.74549198150635;orig;ElecPop;AFR
Pop_orig_bj-1;10104304.877570152;454272.6438860893;288802.1342115402;5888.70370721817;orig;Pop;AFR
NewConnections2030_orig_bj-1;4409134.806760669;585917.693148613;372494.9824581146;7595.209042549133;orig;NewConnections2030;AFR
NewConnections2025_orig_bj-1;3343738.0468091965;0.0;0.0;0.0;orig;NewConnections2025;AFR
ElecPop2030_adj_bw-1;873595.6975649595;168792.86438035965;37960.15331053734;8838.335296988487;adj;ElecPop2030;AFR
ElecPop_adj_bw-1;1802434.6493045092;20250.160103797913;3616.249984025955;2212.969996571541;adj;ElecPop;AFR
Pop_adj_bw-1;2003474.1212358475;199174.1004793644;43804.53990840912;11643.559990882874;adj;Pop;AFR
NewConnections2030_adj_bw-1;464838.3666372299;189043.02448415756;41576.40329456329;11051.305293560028;adj;NewConnections2030;AFR
NewConnections2025_adj_bw-1;751442.75461483;0.0;0.0;0.0;adj;NewConnections2025;AFR
ElecPop2030_orig_bw-1;873595.6975649595;168792.86438035965;37960.15331053734;8838.335296988487;orig;ElecPop2030;AFR
ElecPop_orig_bw-1;1802434.6493045092;20250.160103797913;3616.249984025955;2212.969996571541;orig;ElecPop;AFR
Pop_orig_bw-1;2003474.1212358475;199174.1004793644;43804.53990840912;11643.559990882874;orig;Pop;AFR
NewConnections2030_orig_bw-1;464838.3666372299;189043.02448415756;41576.40329456329;11051.305293560028;orig;NewConnections2030;AFR
NewConnections2025_orig_bw-1;751442.75461483;0.0;0.0;0.0;orig;NewConnections2025;AFR
ElecPop2030_adj_cd-1;53904849.228199005;1984594.9052848816;47381237.35659313;402997.1707315445;adj;ElecPop2030;AFR
ElecPop_adj_cd-1;17073285.97103691;48956.58269691467;3391283.9657945633;26025.784697532654;adj;ElecPop;AFR
Pop_adj_cd-1;39520711.6389904;1482969.3050251007;36065271.038440704;312865.388253212;adj;Pop;AFR
NewConnections2030_adj_cd-1;41183946.43124676;1933884.847272873;12314426.558605194;125695.03517735004;adj;NewConnections2030;AFR
NewConnections2025_adj_cd-1;14228847.013648987;99666.64093589783;12272604.651771545;43772.01587677002;adj;NewConnections2025;AFR
ElecPop2030_orig_cd-1;80858386.08555269;1984594.9052848816;20535018.145819664;296669.80243349075;orig;ElecPop2030;AFR
ElecPop_orig_cd-1;19099888.018279552;48956.58269691467;1368528.2663965225;22179.436852931976;orig;ElecPop;AFR
Pop_orig_cd-1;60654504.81197548;1482969.3050251007;15012544.31135559;232521.10369586945;orig;Pop;AFR
NewConnections2030_orig_cd-1;43877764.338077426;1933884.847272873;9630941.782409191;115453.95480513573;orig;NewConnections2030;AFR
NewConnections2025_orig_cd-1;14228847.013648987;99666.64093589783;12272604.651771545;43772.01587677002;orig;NewConnections2025;AFR
ElecPop2030_adj_cf-1;2147545.2759685516;434580.20889365673;3027931.5006160736;85435.60280799866;adj;ElecPop2030;AFR
ElecPop_adj_cf-1;555195.4846897125;450.3284935951233;90133.14723777771;298.4715061187744;adj;ElecPop;AFR
Pop_adj_cf-1;1920983.517425537;376933.0601582527;2501020.2496910095;74284.45582103729;adj;Pop;AFR
NewConnections2030_adj_cf-1;542745.0617456436;409831.00495809317;1433880.1648802757;17109.353575348854;adj;NewConnections2030;AFR
NewConnections2025_adj_cf-1;738895.6770453453;25199.53188753128;1196793.3052749634;17644.139017105103;adj;NewConnections2025;AFR
ElecPop2030_orig_cf-1;2669774.8334560394;434580.20889365673;2505701.943128586;85435.60280799866;orig;ElecPop2030;AFR
ElecPop_orig_cf-1;556503.3985538483;450.3284935951233;88825.23337364197;298.4715061187744;orig;ElecPop;AFR
Pop_orig_cf-1;2374603.5794525146;376933.0601582527;2047400.187664032;74284.45582103729;orig;Pop;AFR
NewConnections2030_orig_cf-1;578891.3576192856;409831.00495809317;1397733.8690066338;17109.353575348854;orig;NewConnections2030;AFR
NewConnections2025_orig_cf-1;738895.6770453453;25199.53188753128;1196793.3052749634;17644.139017105103;orig;NewConnections2025;AFR
ElecPop2030_adj_cg-1;2849281.3253629673;52514.67966350843;1637276.2692718506;41683.40684097305;adj;ElecPop2030;AFR
ElecPop_adj_cg-1;2778801.695648385;3357.5872894830536;215987.5292339325;1037.5535777281184;adj;ElecPop;AFR
Pop_adj_cg-1;3213978.779232025;41032.54122257233;1242874.3566932678;31374.233843803406;adj;Pop;AFR
NewConnections2030_adj_cg-1;1106134.743941307;55872.266952991486;763106.035670042;6166.9041737914085;adj;NewConnections2030;AFR
NewConnections2025_adj_cg-1;957948.2466163635;0.0;658683.9651870728;2805.526117324829;adj;NewConnections2025;AFR
ElecPop2030_orig_cg-1;3283256.7350667077;52514.67966350843;1214251.565229416;30732.70117966736;orig;ElecPop2030;AFR
ElecPop_orig_cg-1;2812217.153342907;3357.5872894830536;182978.8268699646;630.7982471743744;orig;ElecPop;AFR
Pop_orig_cg-1;3557230.2038583755;41032.54122257233;907963.8409843445;23033.324926376343;orig;Pop;AFR
NewConnections2030_orig_cg-1;1131306.0081759691;55872.266952991486;738546.4257693291;5555.2498398423195;orig;NewConnections2030;AFR
NewConnections2025_orig_cg-1;957948.2466163635;0.0;658683.9651870728;2805.526117324829;orig;NewConnections2025;AFR
ElecPop2030_adj_ci-1;11557506.887457848;1159576.453258872;6167940.240044594;28582.05610227585;adj;ElecPop2030;AFR
ElecPop_adj_ci-1;14999190.407588005;44721.95938503742;561295.2103261948;1568.7410368919373;adj;ElecPop;AFR
Pop_adj_ci-1;16773426.354888916;893879.6285743713;4994714.319059372;22379.157160758972;adj;Pop;AFR
NewConnections2030_adj_ci-1;6248895.485956192;1041127.4176141322;1176777.9799687862;17294.245050787926;adj;NewConnections2030;AFR
NewConnections2025_adj_ci-1;4103538.9300193787;163170.99580097198;0.0;0.0;adj;NewConnections2025;AFR
ElecPop2030_orig_ci-1;17071951.69258547;1159576.453258872;666301.3016667366;15776.18935251236;orig;ElecPop2030;AFR
ElecPop_orig_ci-1;15545805.085395336;44721.95938503742;15876.450145244598;372.82341051101685;orig;ElecPop;AFR
Pop_orig_ci-1;21272193.088825226;893879.6285743713;506340.2832622528;11986.459021568298;orig;Pop;AFR
NewConnections2030_orig_ci-1;6744640.946400762;1041127.4176141322;682177.7518119812;16149.012763023376;orig;NewConnections2030;AFR
NewConnections2025_orig_ci-1;4103538.9300193787;163170.99580097198;0.0;0.0;orig;NewConnections2025;AFR
ElecPop2030_adj_cm-1;17562835.36451173;818904.6420488358;4916199.602443695;60217.72410154343;adj;ElecPop2030;AFR
ElecPop_adj_cm-1;10679912.134642363;5537.369983792305;94705.08128166199;476.28999376296997;adj;ElecPop;AFR
Pop_adj_cm-1;18515835.376152992;675395.3077846766;3921013.367465019;49721.44984674454;adj;Pop;AFR
NewConnections2030_adj_cm-1;7419536.558036327;824442.0120326281;680063.3311388493;34222.59473532438;adj;NewConnections2030;AFR
NewConnections2025_adj_cm-1;5769815.221180439;0.0;12635.046768188477;0.0;adj;NewConnections2025;AFR
ElecPop2030_orig_cm-1;22168966.267305613;818904.6420488358;337766.97357940674;32572.61081647873;orig;ElecPop2030;AFR
ElecPop_orig_cm-1;10774018.835920095;5537.369983792305;976.579999923706;98.0899977684021;orig;ElecPop;AFR
Pop_orig_cm-1;22185036.344623566;675395.3077846766;274813.0689878464;26764.329852581024;orig;Pop;AFR
NewConnections2030_orig_cm-1;7775046.220258653;824442.0120326281;326108.5068035126;32670.70081424713;orig;NewConnections2030;AFR
NewConnections2025_orig_cm-1;5769815.221180439;0.0;12635.046768188477;0.0;orig;NewConnections2025;AFR
ElecPop2030_adj_dj-1;408375.0495738983;3209.930148124695;41912.05322265625;0;adj;ElecPop2030;AFR
ElecPop_adj_dj-1;719019.0938854218;2379.438546180725;183.3565216064453;0;adj;ElecPop;AFR
Pop_adj_dj-1;833625.313709259;4825.775479316711;36344.53356170654;0;adj;Pop;AFR
NewConnections2030_adj_dj-1;226424.85933887959;5589.36869430542;42095.409744262695;0;adj;NewConnections2030;AFR
NewConnections2025_adj_dj-1;318369.2874736786;0.0;0.0;0;adj;NewConnections2025;AFR
ElecPop2030_orig_dj-1;408375.0495738983;3209.930148124695;41912.05322265625;0;orig;ElecPop2030;AFR
ElecPop_orig_dj-1;719019.0938854218;2379.438546180725;183.3565216064453;0;orig;ElecPop;AFR
Pop_orig_dj-1;833625.313709259;4825.775479316711;36344.53356170654;0;orig;Pop;AFR
NewConnections2030_orig_dj-1;226424.85933887959;5589.36869430542;42095.409744262695;0;orig;NewConnections2030;AFR
NewConnections2025_orig_dj-1;318369.2874736786;0.0;0.0;0;orig;NewConnections2025;AFR
ElecPop2030_adj_er-1;3272284.7632665634;336351.7294330597;2118322.7438201904;9083.511877059937;adj;ElecPop2030;AFR
ElecPop_adj_er-1;1218258.672841072;2858.695384979248;1484.9184913635254;332.9102020263672;adj;ElecPop;AFR
Pop_adj_er-1;3160690.8136024475;290695.3554086685;1706224.8865203857;8069.652086257935;adj;Pop;AFR
NewConnections2030_adj_er-1;1156365.227388382;339210.42481803894;602484.2188105583;5139.311048269272;adj;NewConnections2030;AFR
NewConnections2025_adj_er-1;843938.2091264725;0.0;105090.05433654785;254.40616035461426;adj;NewConnections2025;AFR
ElecPop2030_orig_er-1;4836696.035609245;336351.7294330597;566466.7992477417;6447.549146652222;orig;ElecPop2030;AFR
ElecPop_orig_er-1;1218591.5830430984;2858.695384979248;1484.9184913635254;0.0;orig;ElecPop;AFR
Pop_orig_er-1;4413692.976984024;290695.3554086685;464267.63971710205;5525.39782333374;orig;Pop;AFR
NewConnections2030_orig_er-1;1296782.059701085;339210.42481803894;462861.6642770767;4956.345010399818;orig;NewConnections2030;AFR
NewConnections2025_orig_er-1;843938.2091264725;0.0;105090.05433654785;254.40616035461426;orig;NewConnections2025;AFR
ElecPop2030_adj_et-1;87202765.63853942;9651890.75399424;29446163.87273646;241912.1226158142;adj;ElecPop2030;AFR
ElecPop_adj_et-1;18289779.811659716;49425.98981545895;159745.15848874257;1013.0097608566284;adj;ElecPop;AFR
Pop_adj_et-1;69594612.2680893;7165277.394021988;21626190.885429382;179421.6191587448;adj;Pop;AFR
NewConnections2030_adj_et-1;29273281.921185017;8870902.756126106;7639558.361879826;110683.07482278347;adj;NewConnections2030;AFR
NewConnections2025_adj_et-1;30298770.11586237;830413.9752745628;1188107.7542877197;8411.0586643219;adj;NewConnections2025;AFR
ElecPop2030_orig_et-1;110036740.99668227;9651890.75399424;6752218.9826970175;124721.93587875366;orig;ElecPop2030;AFR
ElecPop_orig_et-1;18334746.431805514;49425.98981545895;115432.587232105;393.94230556488037;orig;ElecPop;AFR
Pop_orig_et-1;86492727.24186707;7165277.394021988;4831983.826023102;92409.10252857208;orig;Pop;AFR
NewConnections2030_orig_et-1;31245423.324967265;8870902.756126106;5679543.819596291;100528.03758442402;orig;NewConnections2030;AFR
NewConnections2025_orig_et-1;30298770.11586237;830413.9752745628;1188107.7542877197;8411.0586643219;orig;NewConnections2025;AFR
ElecPop2030_adj_ga-1;1414115.373559475;30808.192092295245;27892.36310005188;5942.876373767853;adj;ElecPop2030;AFR
ElecPop_adj_ga-1;1204034.1617264748;4856.998757128164;1920.1282939910889;355.5169048309326;adj;ElecPop;AFR
Pop_adj_ga-1;1645516.1954669952;35083.62172269821;29326.358556747437;6195.68953371048;adj;Pop;AFR
NewConnections2030_adj_ga-1;357499.800945282;13542.009697556496;5262.216590881348;757.440493106842;adj;NewConnections2030;AFR
NewConnections2025_adj_ga-1;427527.90967714787;23746.76205444336;2167.827100753784;0.0;adj;NewConnections2025;AFR
ElecPop2030_orig_ga-1;1437775.1880497932;32703.81913506563;7594.126258850098;685.6716818809509;orig;ElecPop2030;AFR
ElecPop_orig_ga-1;1205785.2838206291;4982.4452388328755;327.30781173706055;71.76881122589111;orig;ElecPop;AFR
Pop_orig_ga-1;1670512.7725782394;37071.738891124725;7792.264404296875;745.0894064903259;orig;Pop;AFR
NewConnections2030_orig_ga-1;357499.800945282;13542.009697556496;5262.216590881348;757.440493106842;orig;NewConnections2030;AFR
NewConnections2025_orig_ga-1;427527.90967714787;23746.76205444336;2167.827100753784;0.0;orig;NewConnections2025;AFR
ElecPop2030_adj_gh-1;13336865.909732953;861159.4662787914;1623027.7588236332;39220.847754478455;adj;ElecPop2030;AFR
ElecPop_adj_gh-1;22599065.569652423;95242.67159748077;117580.93578505516;4930.837026596069;adj;ElecPop;AFR
Pop_adj_gh-1;24950008.22053528;818634.2825555801;1489877.4318695068;37791.721043109894;adj;Pop;AFR
NewConnections2030_adj_gh-1;6035414.072500944;956402.1378762722;469841.85029029846;27823.327996343374;adj;NewConnections2030;AFR
NewConnections2025_adj_gh-1;6626495.620450497;0.0;0.0;0.0;adj;NewConnections2025;AFR
ElecPop2030_orig_gh-1;14575319.034267083;861159.4662787914;399493.60987210274;24301.872171878815;orig;ElecPop2030;AFR
ElecPop_orig_gh-1;22690973.353120193;95242.67159748077;27631.41125559807;2972.578088283539;orig;ElecPop;AFR
Pop_orig_gh-1;26088733.25444126;818634.2825555801;365598.49994659424;23345.61906003952;orig;Pop;AFR
NewConnections2030_orig_gh-1;6078679.779399723;956402.1378762722;427125.0211277008;27274.450260162354;orig;NewConnections2030;AFR
NewConnections2025_orig_gh-1;6626495.620450497;0.0;0.0;0.0;orig;NewConnections2025;AFR
ElecPop2030_adj_gn-1;6486373.463451266;700725.0051474571;5642926.571655273;135505.47387599945;adj;ElecPop2030;AFR
ElecPop_adj_gn-1;4221684.752552152;12387.457051873207;1054571.8891296387;2905.420249938965;adj;ElecPop;AFR
Pop_adj_gn-1;6959298.035898209;540926.7123602629;4978924.369289398;104990.66244316101;adj;Pop;AFR
NewConnections2030_adj_gn-1;4029178.334503174;713112.4621993303;1984439.7049036026;60458.088827610016;adj;NewConnections2030;AFR
NewConnections2025_adj_gn-1;2110329.839929104;0.0;1440599.043937683;6831.90545463562;adj;NewConnections2025;AFR
ElecPop2030_orig_gn-1;9591758.990484118;700725.0051474571;2573468.504240036;99578.0142583847;orig;ElecPop2030;AFR
ElecPop_orig_gn-1;4768799.169862866;12387.457051873207;507742.26479530334;2620.6272735595703;orig;ElecPop;AFR
Pop_orig_gn-1;9729877.564203262;540926.7123602629;2235813.404186249;77522.09924125671;orig;Pop;AFR
NewConnections2030_orig_gn-1;4376449.2856657505;713112.4621993303;1640611.7280435562;57015.11452507973;orig;NewConnections2030;AFR
NewConnections2025_orig_gn-1;2110329.839929104;0.0;1440599.043937683;6831.90545463562;orig;NewConnections2025;AFR
ElecPop2030_adj_gq-1;1123898.3804125786;10819.04197359085;223149.78654384613;1671.1367449760437;adj;ElecPop2030;AFR
ElecPop_adj_gq-1;560895.7399334908;1299.2244963645935;12933.75607585907;91.32350206375122;adj;ElecPop;AFR
Pop_adj_gq-1;709137.6896152496;6430.935654640198;124321.99188423157;935.3044366836548;adj;Pop;AFR
NewConnections2030_adj_gq-1;461730.1803855896;12118.266469955444;33503.88547372818;1070.9257810115814;adj;NewConnections2030;AFR
NewConnections2025_adj_gq-1;342683.9132194519;0.0;749.4309921264648;0.0;adj;NewConnections2025;AFR
ElecPop2030_orig_gq-1;1332731.4287424088;10819.04197359085;15058.916380882263;928.9585781097412;orig;ElecPop2030;AFR
ElecPop_orig_gq-1;571012.3014535904;1299.2244963645935;2822.645686149597;85.87237167358398;orig;ElecPop;AFR
Pop_orig_gq-1;825330.1219062805;6430.935654640198;8526.312368392944;538.551661491394;orig;Pop;AFR
NewConnections2030_orig_gq-1;478158.0296075344;12118.266469955444;17132.131083011627;1014.8309497833252;orig;NewConnections2030;AFR
NewConnections2025_orig_gq-1;342683.9132194519;0.0;749.4309921264648;0.0;orig;NewConnections2025;AFR
ElecPop2030_adj_gw-1;1105362.5556488037;106005.95858097076;628642.449552536;5852.918188095093;adj;ElecPop2030;AFR
ElecPop_adj_gw-1;723303.8356742859;884.9699912071228;11404.200059890747;0.0;adj;ElecPop;AFR
Pop_adj_gw-1;1248127.1041679382;85019.38007831573;504944.37013816833;4655.319969177246;adj;Pop;AFR
NewConnections2030_adj_gw-1;518907.5220837593;106890.92857217789;368308.67109680176;2148.741432905197;adj;NewConnections2030;AFR
NewConnections2025_adj_gw-1;813938.8449783325;0.0;0.0;778.0769519805908;adj;NewConnections2025;AFR
ElecPop2030_orig_gw-1;1392676.8491210938;106005.95858097076;341328.156080246;5852.918188095093;orig;ElecPop2030;AFR
ElecPop_orig_gw-1;733041.4457359314;884.9699912071228;1666.5899982452393;0.0;orig;ElecPop;AFR
Pop_orig_gw-1;1480258.794429779;85019.38007831573;272812.6798763275;4655.319969177246;orig;Pop;AFR
NewConnections2030_orig_gw-1;544221.4471020699;106890.92857217789;342994.7460784912;2148.741432905197;orig;NewConnections2030;AFR
NewConnections2025_orig_gw-1;813938.8449783325;0.0;0.0;778.0769519805908;orig;NewConnections2025;AFR
ElecPop2030_adj_hn-1;4304888.859109068;556377.3737941799;317629.1846718008;19246.489392000007;adj;ElecPop2030;other
ElecPop_adj_hn-1;6344696.547790874;60868.84727105718;33379.8076382;1109.8315189999998;adj;ElecPop;other
Pop_adj_hn-1;7336564.210456384;437387.19687983114;247823.75660200036;14424.704251999998;adj;Pop;other
NewConnections2030_adj_hn-1;930162.6960820844;393285.33394343563;229470.0076794019;3031.3791394999994;adj;NewConnections2030;other
NewConnections2025_adj_hn-1;1526632.7486140907;223960.887833909;32992.92311999998;15362.798918500002;adj;NewConnections2025;other
ElecPop2030_orig_hn-1;4396032.7667591665;556377.3737941799;231455.0397517009;19246.489392000007;orig;ElecPop2030;other
ElecPop_orig_hn-1;6354419.088049774;60868.84727105718;23856.6839693;1109.8315189999998;orig;ElecPop;other
Pop_orig_hn-1;7408039.241857384;437387.19687983114;180011.66028500014;14424.704251999998;orig;Pop;other
NewConnections2030_orig_hn-1;937700.182177485;393285.33394343563;222318.80084490136;3031.3791394999994;orig;NewConnections2030;other
NewConnections2025_orig_hn-1;1526632.7486140907;223960.887833909;32992.92311999998;15362.798918500002;orig;NewConnections2025;other
ElecPop2030_adj_ht-1;3862424.817993882;505119.8378531207;3484591.7861745544;1788.638018;adj;ElecPop2030;other
ElecPop_adj_ht-1;5158435.725896107;2389.827229400001;43367.83255741001;0.0;adj;ElecPop;other
Pop_adj_ht-1;6983961.713675034;422909.47289008286;2891392.980825015;1490.4779500000006;adj;Pop;other
NewConnections2030_adj_ht-1;2213002.2003197507;494951.1735468321;838964.0869780019;801.0057406999997;adj;NewConnections2030;other
NewConnections2025_adj_ht-1;1918138.349329198;12558.491729300034;30127.33678;490.29998300000005;adj;NewConnections2025;other
ElecPop2030_orig_ht-1;6634960.387932602;505119.8378531207;720937.0940038956;1788.638018;orig;ElecPop2030;other
ElecPop_orig_ht-1;5200364.232728416;2389.827229400001;1439.3257251;0.0;orig;ElecPop;other
Pop_orig_ht-1;9280796.512724932;422909.47289008286;601958.6464060012;1490.4779500000006;orig;Pop;other
NewConnections2030_orig_ht-1;2360106.161317433;494951.1735468321;692249.0833339945;801.0057406999997;orig;NewConnections2030;other
NewConnections2025_orig_ht-1;1918138.349329198;12558.491729300034;30127.33678;490.29998300000005;orig;NewConnections2025;other
ElecPop2030_adj_ke-1;44290862.723558545;2487046.67706478;6367728.48827016;42331.68011379242;adj;ElecPop2030;AFR
ElecPop_adj_ke-1;16040487.083577989;57126.93167054276;220440.79050410204;367.25217485427856;adj;ElecPop;AFR
Pop_adj_ke-1;38987709.91003132;1831574.306796074;4742884.502592087;30739.359587192535;adj;Pop;AFR
NewConnections2030_adj_ke-1;13638188.535248756;2536232.095508337;1428248.6887562275;18170.0508954525;adj;NewConnections2030;AFR
NewConnections2025_adj_ke-1;14084521.263204575;7941.513262748718;239277.48319625854;2302.011499404907;adj;NewConnections2025;AFR
ElecPop2030_orig_ke-1;49585344.220051885;2487046.67706478;1181308.506713267;22591.145411491394;orig;ElecPop2030;AFR
